date,from_currency_code,to_currency_code,exchange_rate
2024-01-02,EUR,USD,1.09559999999999990727
2024-01-03,EUR,USD,1.09190000000000009273
2024-01-04,EUR,USD,1.09529999999999994031
2024-01-05,EUR,USD,1.09210000000000007070
2024-01-08,EUR,USD,1.09460000000000001741
2024-01-09,EUR,USD,1.09400000000000008349
2024-01-10,EUR,USD,1.09460000000000001741
2024-01-11,EUR,USD,1.09870000000000000995
2024-01-12,EUR,USD,1.09420000000000006146
2024-01-15,EUR,USD,1.09450000000000002842
2024-01-16,EUR,USD,1.08820000000000005613
2024-01-17,EUR,USD,1.08769999999999988916
2024-01-18,EUR,USD,1.08749999999999991118
2024-01-19,EUR,USD,1.08870000000000000107
2024-01-22,EUR,USD,1.08899999999999996803
2024-01-23,EUR,USD,1.08719999999999994422
2024-01-24,EUR,USD,1.09050000000000002487
2024-01-25,EUR,USD,1.08929999999999993499
2024-01-26,EUR,USD,1.08709999999999995524
2024-01-29,EUR,USD,1.08230000000000003979
2024-01-30,EUR,USD,1.08460000000000000853
2024-01-31,EUR,USD,1.08370000000000010765
2024-02-01,EUR,USD,1.08139999999999991687
2024-02-02,EUR,USD,1.08830000000000004512
2024-02-05,EUR,USD,1.07459999999999999964
2024-02-06,EUR,USD,1.07430000000000003268
2024-02-07,EUR,USD,1.07759999999999989129
2024-02-08,EUR,USD,1.07580000000000008953
2024-02-09,EUR,USD,1.07719999999999993534
2024-02-12,EUR,USD,1.07729999999999992433
2024-02-13,EUR,USD,1.07929999999999992610
2024-02-14,EUR,USD,1.07129999999999991900
2024-02-15,EUR,USD,1.07430000000000003268
2024-02-16,EUR,USD,1.07679999999999997939
2024-02-19,EUR,USD,1.07759999999999989129
2024-02-20,EUR,USD,1.08020000000000004903
2024-02-21,EUR,USD,1.08089999999999997193
2024-02-22,EUR,USD,1.08440000000000003055
2024-02-23,EUR,USD,1.08339999999999991864
2024-02-26,EUR,USD,1.08519999999999994245
2024-02-27,EUR,USD,1.08559999999999989839
2024-02-28,EUR,USD,1.08079999999999998295
2024-02-29,EUR,USD,1.08260000000000000675
2024-03-01,EUR,USD,1.08129999999999992788
2024-03-04,EUR,USD,1.08460000000000000853
2024-03-05,EUR,USD,1.08489999999999997549
2024-03-06,EUR,USD,1.08739999999999992220
2024-03-07,EUR,USD,1.08949999999999991296
2024-03-08,EUR,USD,1.09319999999999994955
2024-03-11,EUR,USD,1.09260000000000001563
2024-03-12,EUR,USD,1.09159999999999990372
2024-03-13,EUR,USD,1.09390000000000009450
2024-03-14,EUR,USD,1.09250000000000002665
2024-03-15,EUR,USD,1.08919999999999994600
2024-03-18,EUR,USD,1.08919999999999994600
2024-03-19,EUR,USD,1.08539999999999992042
2024-03-20,EUR,USD,1.08440000000000003055
2024-03-21,EUR,USD,1.09070000000000000284
2024-03-22,EUR,USD,1.08230000000000003979
2024-03-25,EUR,USD,1.08349999999999990763
2024-03-26,EUR,USD,1.08549999999999990941
2024-03-27,EUR,USD,1.08159999999999989484
2024-03-28,EUR,USD,1.08109999999999994991
2024-04-02,EUR,USD,1.07489999999999996660
2024-04-03,EUR,USD,1.07830000000000003624
2024-04-04,EUR,USD,1.08519999999999994245
2024-04-05,EUR,USD,1.08410000000000006359
2024-04-08,EUR,USD,1.08230000000000003979
2024-04-09,EUR,USD,1.08669999999999999929
2024-04-10,EUR,USD,1.08600000000000007638
2024-04-11,EUR,USD,1.07289999999999996483
2024-04-12,EUR,USD,1.06519999999999992468
2024-04-15,EUR,USD,1.06560000000000010267
2024-04-16,EUR,USD,1.06370000000000008988
2024-04-17,EUR,USD,1.06380000000000007887
2024-04-18,EUR,USD,1.06790000000000007141
2024-04-19,EUR,USD,1.06529999999999991367
